1. agencias		Comentário: Cadastro das agências bancárias onde os funcionários podem ter uma conta.			
4	fkarmazem	smallint	NI	Nao	fk [fk3nunfvenda]=[fkarmazem] apontando para a tabela armazens[pkarmazem].
5	vltotalnfvenda	double precision	NI	Nao	Valor total da nota fiscal de venda.
6	dtvenda	date	NI	Sim	Data de realização da venda que gera a nota de venda.
7	dtemissao	date	NI	Sim	Data de emissão da nota de venda.
8	dtcadnfvenda	date	NI	Sim	Data de Geração do Registfro.
					
69. nfvendasitens		Comentário: Cadastro das Notas Fiscais de Vendas. É a entidade fraca entre nf_vendas e nf_vendas_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	fknunfvenda	integer	NI	Sim	Parte da CP [pknfvendaitem]=[fknunfvenda,fkproduto] [composta] e CE [fk1nfvendaitem]=[fknunfvenda] apontando para a tabela nfvendas[pknunfvenda]
2	fkproduto	character	12	Sim	Parte da CP [pknfvendaitem]=[fknunfvenda,fkproduto] [composta] e CE [fk2nfvendaitem]=[idceproduto] apontando para a tabela produtos[pkroduto].
3	qtvendida	integer	NI	Sim	Quantidade de produto vendida
4	vlunitario	double precision	NI	Sim	Valor unitário do produto na Nota de venda (pode ser ? do valor do estoque]
					
70. ocorrencias		Comentário: Registros da ocorrência de Sinistros nos veículos segurados de uma seguradora.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkocorrencia	integer	NI	Sim	pk da Tabela [pkocorrencia]=[pkocorrencia].
2	fksinistro	integer	NI	Sim	fk [fk1ocorrencia]=[fksinistro] apontando para a tabela sinistros[pksinistro]
3	fkveiculo	integer	NI	Sim	fk [fk2ocorrencia]=[fkveiculo] apontando para a tabela veículo[pkveiculo] que sofreu o sinistro
4	fknumeroapolice	integer	NI	Sim	fk [fk3ocorrencia]=[fknumeroapolice]apontando para a tabela seguros[pknumeroapolice] (que cobre o sinistro do veículo].
5	fklogradouroprincipal	integer	NI	Sim	fk [fk4ocorrencia]=[fklogradouroprincipal]apontando para a tabela logrcompleto[pklogradouro] com o código do Logradouro principal da ocorrência do sinistro.
6	fklogradourosecundario	integer	NI	Nao	fk [fk5ocorrencia]=[fklogradourosecundario]apontando para a tabela logrcompleto[pklogradouro] com o código do Logradouro secundário da ocorrência do sinistro
7	txlogradouroocorrencia	character varying	250	Sim	Texto descrevendo os logradouros e localidade da ocorrência do sinistro.
8	dtcadocorrencia	date	NI	Sim	Data de geração do registro.
					
71. oficinas		Comentário: Cadastro das Oficinas que prestam serviços para reparos em veículos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkoficina	integer	NI	Sim	pk da Tabela [pkoficina]=[pkoficina].
2	txrazaosocial	character varying	100	Sim	Razão Social completa da Oficina segundo o cadastro do CNPJ
3	nucnpj	character	14	Nao	Número do CNPJ (Cadastro Nacional de Pessoas Jurídicas]
4	txapelido	character varying	30	Nao	Nome de apelido da Oficina
5	fklogradouro	integer	NI	Nao	fk [fk1oficina]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a Oficina.
6	dtfundacao	date	NI	Nao	Data de fundação ou criação da oficina.
7	dtcadoficina	date	NI	Nao	Data de geração do registro.
					
72. oficinastels		Comentário: Registro dos Telefones das oficinas.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkoficinatel	integer	NI	Sim	pk da Tabela [pkoficinatel]=[pkoficinatel].
2	fkoficina	integer	NI	Sim	fk [fk1oficinatel]=[fkoficina] apontando para a tabela oficinas[pkoficina].
3	fkteltipo	smallint	NI	Nao	fk [fk2oficinatel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente números].
5	txnomecontato	character varying	30	Nao	Nomes das pessoas que atendem como contato no telefone.
6	dtcadoficinatel	date	NI	Nao	Data de geração do registro.
					
73. paises		Comentário: Cadastro de Paises do planeta.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpais	character	1	Sim	pk da Tabela [pkpais]=[pkpais].
2	txnomepais	character varying	200	Nao	Nome completo do país.
3	txidiomafalado	character varying	200	Nao	Texto com o nome do idioma falado no país.
4	dtcadpais	date	NI	Sim	Data de geração do registro.
					
74. palavraschaves		Comentário: Cadastro das palavras-chaves para pesquisa por palavras de exemplares de um acervo de uma biblioteca.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpalavra	integer	NI	Sim	pk da Tabela [pkpalavra]=[pkpalavra].
2	txnomepalavra	character varying	30	Sim	Palavra-chave de pesquisa complete e se abreviações
3	dtcadpalavrachave	date	NI	Sim	Data de geração do registro.
					
75. palavraslivros		Comentário: Registro das palavras-chaves de cada exemplar de um acervo.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	fkpalavra	integer	NI	Sim	Parte da CP [pkpalavralivro]=[fkpalavra,fklivro] e CE [fk1palavralivro]=[fkpalavra] apontando para a tabela palavraschaves[pkpalavra].
2	fklivro	integer	NI	Sim	Parte da CP [pkpalavralivro]=[fkpalavra,fklivro] e CE [fk2palavralivro]=[fklivro] apontando para a tabela livros[pklivro]
3	dtcadpalchavelivro	date	NI	Sim	Data de geração do registro.
					
76. passagens		Comentário: Cadastro das passagens vendidas para funcionários em cada ônibus para cada viagem.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpassagem	integer	NI	Sim	pk da Tabela [pkpassagem]=[pkpassagem].
2	fkviagem	integer	NI	Sim	fk [fk1passagem]=[fkviagem] apontando para a tabela viagens[pkviagem], com o código da viagem para o qual se vende a passagem
3	fkonibus	smallint	NI	Sim	fk [fk2passagem]=[fkonibus] apontando para a tabela veiculos[pkveiculo], com o código do ônibus para o qual se vende a passagem
4	nupoltrona	integer	NI	Sim	Indica o número da poltrona do ônibus que é alocada na venda da passagem
5	fkfuncionario	smallint	NI	Sim	fk [fk3passagem]=[fkfuncionario] com o código do funcionário que compra a passagem.
6	dtcadpassagem	date	NI	Nao	Data de geração do registro.
					
77. pedcompras		Comentário: Cadastro das Ordens de Compras. É a entidade forte entre ord_compras e ord_compras_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpedcompra	integer	NI	Sim	pk da Tabela [pkpedcompra]=[pkpedcompra].
2	fkfornecedor	integer	NI	Nao	fk [fk1pedcompra]=[fkfornecedor] apontando para a tabela fornecedores[pkfornecedor] (do Pedido de compra].
3	fkfuncionario	smallint	NI	Nao	fk [fk2pedcompra]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario] (que emitem o Pedido de Compra].
4	dtpedcompra	date	NI	Nao	Data de realização do pedido de venda.
5	txcomentarios	character varying	900	Nao	Texto com comentários complementares do pedido de compra.
6	vltotalpedcompra	double precision	NI	Nao	Valor total do Pedido de compra
7	aosituacao	character	1	Nao	Atributo Operacional indicando: (A]berto|(E]ntregue|(P]ago.
8	dtcadpedcompra	date	NI	Sim	Data de geração do registro.
					
78. pedcomprasitens		Comentário: Cadastro das Ordens de Compras. É a entidade fraca entre pedcompras e pedcompras_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpedcompraitem	integer	NI	Sim	pk da Tabela [pkpedcompraitem]=[pkpedcompraitem].
2	fkpedcompra	integer	NI	Sim	Parte da UK [uk1pedcompraitem]=[fkpedcompra,fkproduto] [composta] e CE [fk1pedcompraitem]=[fkpedcompra] apontando para a tabela pedcompras[pkpedcompra].
3	fkproduto	character	12	Sim	Parte da UK [uk1pedcompraitem]=[fkpedcompra,fkproduto] [composta] e CE [fk2pedcompraitem]=[fkproduto] apontando para a tabela produtos[pkproduto].
4	qtpedcompra	numeric	NI	Sim	Quantidade de produtos da compra
5	vlunitario	double precision	NI	Sim	Valor unitário negociado com o fornecedor
					
79. pedvendas		Comentário: Cadastro dos Pedidos de Vendas. É a entidade forte entre pedvendas e pedvendasitens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpedvenda	smallint	NI	Sim	pk da Tabela [pkpedvenda]=[pkpedvenda].
2	fkcliente	integer	NI	Nao	fk [fk1pedvenda]=[fkcliente] apontando para a tabela clientes[pkcliente].
3	fkfuncionario	smallint	NI	Nao	fk [fk2pedvenda]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
4	dtpedvenda	date	NI	Nao	Data de realização do Pedido de Venda
5	txcomentarios	character varying	900	Nao	Texto com comentarios complementares do pedido de venda.
6	vltotalpedvenda	double precision	NI	Nao	Valor total do pedido de venda
7	aosituacao	character	1	Nao	Atributo Operacional indicando: (A]berto|(E]ntregue|(P]ago
8	dtcadpedvenda	date	NI	Sim	Data de geração do registro.
					
80. pedvendasitens		Comentário: Cadastro dos Pedidos de Vendas. É a entidade fraca entre pedvendas e pedvendasitens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkpedvendaitem	smallint	NI	Sim	pk da Tabela [pkpedvendaitem]=[pkpedvendaitem].
2	fkpedvenda	smallint	NI	Sim	Parte da UK [uk1pedvendaitem]=[fkpedvenda,fkproduto] e CE [fk1pedvendaitem]=[fkpedvenda] apontando para a tabela pedvendas[pkpedvenda]
3	fkproduto	character	12	Sim	Parte da UK [uk1pedvendaitem]=[fkpedvenda,fkproduto] e CE [fk2pedvendaitem]=[fkproduto] apontando para a tabela produtos[pkproduto].
4	qtvenda	numeric	NI	Sim	Quantidade da venda
5	vlunitario	double precision	NI	Sim	Valor unitário negociado com o cliente
					
81. planosdesaude		Comentário: Cadastro dos planos de saúde.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkplanodesaude	integer	NI	Sim	pk da Tabela [pkplanodesaude]=[pkplanodesaude].
2	txnomeplano	character varying	200	Sim	Nome completo e usual para o plano de saúde
3	txrazaosocial	character varying	250	Nao	Razão social completa.
4	nucnpj	character	15	Nao	Número no Cadastro Nacional de Pessoas Jurídicas (empresas], atribuído pelo ministério da economia.
5	fklogradouro	integer	NI	Nao	fk [fk1planodesaude]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está o escritório do Plano de Saúde.
6	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
7	nucep	character	8	Nao	Número do CEP
8	dtcadplanodesaude	date	NI	Sim	Data de geração do registro.
					
82. planosdesaudemedicos		Comentário: Cadastro dos Planos de Saúde - Médicos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkplanosaudemed	integer	NI	Sim	pk da Tabela [pkplanosaudemed]=[pkplanosaudemed].
2	fkplanodesaude	integer	NI	Sim	fk [fk1planosaudemed]=[fkplanodesaude] apontando para a tabela planosdesaude[pkplanodesaude].
3	fkmedico	integer	NI	Sim	fk [fk2planosaudemed]=[fkmedico] apontando para a tabela medicos[pkmedico].
4	dtassociacao	date	NI	Sim	Data de associação do médico ao plano de saúde.
5	dtdesligamento	date	NI	Nao	Data de desligamento de um médico como participante como atendente de um Plano de Saúde.
6	dtcadplanomedico	date	NI	Sim	Data de geração do registro.
					
83. planosdesaudetels		Comentário: Registro dos telefones de cada Plano de Saúde.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkplanostel	smallint	NI	Sim	pk da Tabela [pkplanotel]=[pkplanostel].
2	fkplanodesaude	smallint	NI	Sim	fk [fk1planotel]=[fkplanodesaude] apontando para a tabela planosdesaude[pkplanodesaude]
3	fkteltipo	smallint	NI	Nao	fk [fk2planotel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente os números]
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadplanotel	date	NI	Nao	Data de geração do registro.
					
84. produtos		Comentário: Cadastro dos produtos que são feitos e vendidos pela empresa onde o funcionário trabalha.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkproduto	character	12	Sim	pk da Tabela [pkproduto]=[pkproduto].
2	txnomeproduto	character varying	128	Nao	Nome completo e usual
3	vlpreco	numeric	9,2	Nao	Valor do preço
4	vlprecopromocao	numeric	9,2	Nao	Valor do preço de venda para promoção (com desconto máximo]
5	vlprecominimo	numeric	9,2	Nao	Valor do preço mínimo (contabilizando os custos de produção]
6	qtestoque	numeric	7,2	Nao	Quantidade do produto em estoque (até 99999.99]
7	qtdiaspromocao	smallint	NI	Nao	Quant. De dias para execução de uma promoção do produto
8	txdescricaocompleta	text	NI	Nao	Texto com a descrição complete do produto.
9	dtcadproduto	date	NI	Sim	Data de geração do registro.
					
85. professores		Comentário: Professores de uma Instituição de ensino			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkprofessor	smallint	NI	Sim	pk da Tabela [pkprofessor]=[pkprofessor].
2	txnomeprofessor	character varying	250	Sim	Nome completo e sem abreviações
3	fklogradouro	integer	NI	Nao	fk [fk1professor]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a residência do Professor.
4	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
5	nucep	character	8	Nao	Número do CEP (somente números].
6	dtnascimento	date	NI	Nao	Data de Nascimento
7	dtcadprofessor	date	NI	Nao	Data de geração do registro.
					
86. professorestels		Comentário: Registro dos telefones de cada professor.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkprofessortel	integer	NI	Sim	pk da Tabela [pkprofessortel]=[pkprofessortel].
2	fkprofessor	smallint	NI	Sim	fk [fk1professortel]=[fkprofessor] apontando para a tabela professores[pkprofessor]
3	fkteltipo	smallint	NI	Nao	fk [fk2professortel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente os números]
5	dtcadprofessortel	date	NI	Nao	Data de geração do registro.
					
87. projetos		Comentário: Cadastro dos projetos que são desenvolvidos pelos funcionários de uma empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkprojeto	character	6	Sim	pk da Tabela [pkprojeto]=[pkprojeto].
2	txnomeprojeto	character varying	90	Sim	Nome completo e sem abreviações.
3	fkdepto	character	3	Nao	fk [fk1projeto]=[fkdepto] apontando para a tabela departamentos[pkdepto], com o código do departamento que lidera ou coordena o projeto
4	fkfuncresponsavel	smallint	NI	Nao	fk [fk2projeto]=[fkfuncionarioresponsavel] apontando para a tabela funcionarios[pkfuncionario], com o código do funcionário responsável pelo projeto
5	vlestimado	numeric	NI	Nao	Valor estimado do projeto.
6	dtinicio	date	NI	Nao	Data de inicio do projeto (após conclusão de estudos de viabilidade].
7	dttermino	date	NI	Nao	Data de término do projeto (após a declaração de aceite dos interessados].
8	fkprojetosuperior	character	6	Nao	fk [fk3projeto]=[fkprojetosuperior] apontando para a tabela projetos[pkprojeto], com o código de projeto superior (havendo subordinação].
9	dtcadprojeto	date	NI	Sim	Data de geração do registro.
					
88. rotasviarias		Comentário: Cadastro das rotas viárias de viagens entre cidades.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkrota	numeric	NI	Sim	pk da Tabela [pkrota]=[pkrota].
2	txnomerota	character varying	60	Sim	Nome completo e sem abreviações.
3	txdescrperiodo	character varying	250	Sim	Texto com a descrição do período de ocorrência de viagens na rota viária
4	fkcidadeorigem	smallint	NI	Nao	fk [fk1rota]=[fkcidadeorigem] apontando para a tabela cidades[pkcidade], com o código da cidade de origem da rota viária
5	fkcidadedestino	smallint	NI	Nao	fk [fk2rota]=[fkcidadedestino] apontando para a tabela cidades[pkcidade], com o código da cidade de destino da rota viária
6	dtcadrotaviaria	date	NI	Sim	Data de geração do registro.
					
89. roteiros		Comentário: Cadastro dos roteiros de cada Rota Viária. É a lista de cidades por onde um ônibus passa em uma rota. Pode ser conhecido como itinerário.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkroteiro	integer	NI	Sim	pk da Tabela [pkroteiro]=[pkroteiro]. Número inteiro sequencial crescente de 5 em 5.
2	fkrota	numeric	NI	Sim	fk [fk1roteiro]=[fkrota] apontando para a tabela rotasviarias[pkrota] e parte da CP composta da Tabela.
3	fkcidade	smallint	NI	Sim	fk [fk2roteiro]=[fkcidade] apontando para a tabela cidades[pkcidade] e parte da CP composta da Tabela.
4	nuordem	character	3	Nao	Número indicando a ordem das cidades dentro de uma rota viária.
5	dtcadroteiro	date	NI	Nao	Data de geração do registro.
					
90. seguradoras		Comentário: Cadastro das Seguradoras de valores.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkseguradora	smallint	NI	Sim	pk da Tabela [pkseguradora]=[pkseguradora].
2	txnomeseguradora	character varying	250	Sim	Nome completo e sem abreviações.
3	fklogradouro	integer	NI	Nao	fk [fk1seguradora]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a sede da seguradora.
4	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro da seguradora (número, andar, etc.]
5	nucep	character	8	Nao	Número do CEP (somente números].
6	dtcadseguradora	date	NI	Sim	Data de geração do registro.
					
91. seguradorastels		Comentário: Cadastro dos telefones de cada Seguradora.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkseguradoratel	smallint	NI	Sim	pk da Tabela [pkseguradoratel]=[pkseguradoratel].
2	fkseguradora	smallint	NI	Sim	fk [fk1seguradoratel]=[fkseguradora] apontando para a tabela seguradoras[pkseguradora].
3	fkteltipo	smallint	NI	Nao	fk [fk2seguradoratel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo].
4	nutelefone	character	15	Sim	Número do telefone (somente os números]
5	txnomecontato	character varying	30	Nao	Texto com o nome da pessoa que atende no número de telefone indicado no registro.
6	dtcadseguradoratel	date	NI	Nao	Data de geração do registro.
					
92. seguros		Comentário: Cadastro dos Seguros assumidos para cada Seguradora.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pknumeroapolice	integer	NI	Sim	pk da Tabela [pkseguro]=[pknumeroapolice] (assumindo que as seguradoras tenham um cadastro único de apólices de seguros]
2	fkveiculo	integer	NI	Sim	fk [fk1seguro]=[fkveiculo] apontando para a tabela veiculos[pkveiculo], com o código do veículo (pode ser carro ou ônibus].
3	fkseguradora	smallint	NI	Sim	fk [fk2seguro]=[fkseguradora] apontando para a tabela seguradoras[pkseguradora].
4	dtcontratacao	date	NI	Sim	Data de contratação do Seguro na Seguradora.
5	dtlimitecobertura	date	NI	Sim	Data limite da cobertura do seguro.
6	vlcobertura	double precision	NI	Sim	Valor da cobertura da apólice de seguro.
7	dtcadseguro	date	NI	Sim	Data de geração do registro.
					
93. servicos		Comentário: Cadastro dos serviços oferecidos pelas oficinas que cobrem os sinistros das seguradoras.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkservico	integer	NI	Sim	pk da Tabela [pkservico]=[pkservico].
2	txnomeservico	character varying	90	Nao	Nome simples do serviço com palavras sem abreviações.
3	txdescricao	character varying	250	Nao	Descrição do que é feito no serviço. Palavras sem abreviações.
4	vlestimado	double precision	NI	Nao	Valor aproximado do serviço.
5	dtcadservico	date	NI	Nao	Data de geração do registro.
					
94. servicosfeitospor		Comentário: Registros dos Serviços feitos pelas oficinas.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkservicofeitopor	integer	NI	Sim	pk da Tabela [pkservicofeitopor]=[pkservicofeitopor]. Número inteiro sequencial crescente de 5 em 5.
2	fkoficina	integer	NI	Sim	fk [fk1servicofeitopor]=[fkoficina] apontando para tabela oficinas[coficina] (que realiza um serviço].
3	fkservico	integer	NI	Sim	fk [fk2servicofeitopor]=[fkservico] apontando para tabela serviços[pkservico] (prestados por uma oficina].
4	txdescrcomplementar	character varying	250	Nao	Descrição complementar do serviço prestado (se preciso].
5	nudiasprevistos	smallint	NI	Nao	Prazo inicialmente previsto para o serviço.
6	dtcadfeitopor	date	NI	Nao	Data de geração do registro.
					
95. servicosprestados		Comentário: Registro com os serviços de manutenção feitos em cada ônibus ou carro.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkservicoprestado	integer	NI	Sim	pk da Tabela [pkservicoprestado]=[pkservicoprestado]
2	fkservicofeitopor	integer	NI	Nao	fk [fk1servicoprestado]=[fkservicofeitopor] apontando para a tabela servicosfeitospor[pkservicofeitopor] que são feitos nos veículos (ônibus ou carros].
3	fkveiculo	integer	NI	Nao	fk [fk2servicoprestado]=[fkveiculo] apontando para a tabela veiculos[pkveiculo], com o código do veículo (ônibus ou carros] no qual se faz um serviço.
4	txdescricaoproblema	character varying	250	Nao	Descrição do problema apresentado pelo veículo (sem abreviações].
5	txdescricaosolucao	character varying	250	Nao	Descrição da solução indicada para o veículo (sem abreviações].
6	vlestimado	double precision	NI	Nao	Valor estimado do serviço realizado no veículo.
7	dtprevinicio	date	NI	Nao	Data prevista para inicio da prestação de serviço.
8	dtprevtermino	date	NI	Nao.	Data prevista para término da prestação de serviço.
9	vlcobrado	numeric	8,2	Nao	Valor final cobrado pela prestação do serviço feito pela oficina no veículo.
10	dtrealinicio	date	NI	Nao	Data de inicio da prestação do serviço.
11	dtrealtermino	date	NI	Nao	Data de término da prestação do serviço.
12	dtcadservicoprestado	date	NI	Nao	Data de geração do registro.
					
96. setoresdeatuacao		Comentário: Cadastro dos setores de atuação das empresas onde funcionários já trabalharam.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pksetoratuacao	smallint	NI	Sim	pk da Tabela [pksetoratuacao]=[pksetoratuacao].
2	txnomesetordeatuacao	character varying	90	Sim	Nome completo e sem abreviações
3	txdescrsetordeatuacao	character varying	250	Sim	Texto descrevendo o que se desenvolve no setor de atuação.
4	dtcadsetordeatuacao	date	NI	Sim	Data de geração do registro.
					
97. sinistros		Comentário: Cadastro dos Sinistros (acidentes] que podem ocorrer nos veículos segurados de uma seguradora.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pksinistro	integer	NI	Sim	pk da Tabela [pksinistro]=[pksinistro].
2	txnomesinistro	character varying	90	Sim	Denominação formal do sinistro.
3	txdescricaosinistro	character varying	250	Sim	Descrição completa do sinistro (usando termos jurídicos].
4	dtcadsinistro	date	NI	Sim	Data de geração do registro.
					
98. tarefas		Comentário: Cadastro das tarefas que podem ser desenvolvidas pelos funcionários em projetos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktarefa	smallint	NI	Sim	pk da Tabela [pktarefa]=[pktarefa].
2	txnometarefa	character	40	Sim	Nome curto da ação de projeto (sem abreviações].
3	txdescricaotarefa	character varying	250	Sim	Descrição completa de uma ação que é usada em projetos.
4	qthoraspadrao	smallint	NI	Nao	Quantidade de Horas padrão para a ação em qualquer projeto.
5	dtcadtarefa	date	NI	Nao	Data de geração do registro.
					
99. tarefasprojetos		Comentário: Registro das tarefas que são necessárisa em cada projeto.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktarefaprojeto	integer	NI	Sim	pk da Tabela [pktarefaprojeto]=[pktarefaprojeto].
2	fkprojeto	character	6	Sim	fk [fk1tarefaprojeto]=[fkprojeto] apontando para a tabela projetos[pkprojeto] indicando o código do projeto que tem a tarefa.
3	fktarefa	smallint	NI	Sim	fk [fk2tarefaprojeto]=[fktarefa] apontando para a tabela tarefas[pktarefa] indicando o código da tarefa do projeto
4	qthorasenvolvidas	integer	NI	Sim	Quantidade de horas comprometidas da tarefa no projeto
5	nuordem	smallint	NI	Nao	Número de ordem da tarefa dentro do projeto.
6	dtcadtarefaprojeto	date	NI	Nao	Data de geração do registro.
					
100. telefonestipos		Comentário: Cadastro dos tipos de telefones (fixo, celular, empresarial, etc.].			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkteltipo	smallint	NI	Sim	pk da Tabela [pktipotelefone]=[pkteltipo].
2	txdescricaotipotel	character varying	250	Sim	Texto descrevendo o tipo de telefone (sem abreviações].
3	dtcadtipotelefone	date	NI	Sim	Data de geração do registro.
					
101. titulacoes		Comentário: Registro dos Títulos alcançados pelos professores.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktitulacao	integer	NI	Sim	pk da Tabela [pktitulacao]=[pktitulacao]. Número inteiro sequencial crescente de 5 em 5.
2	fkprofessor	smallint	NI	Sim	fk [fk1titulacao]=[fkprofessor] apontando para a tabela de professores[pkprofessor].
3	fkgrauescolar	smallint	NI	Sim	fk [fk2titulacao]=[pkgrauescolar] apontando para grausdeescolaridade[pkgrauescolar].
4	fkinstituicao	smallint	NI	Nao	fk [fk3titulacao]=[fkinstituicao] apontando para a tabela instituicoesensino[pkinstituicao].
5	dttitulacao	date	NI	Sim	Data de Registro do Título apresentado pela Instituição de Ensino onde o professor se titulou.
6	dtcadtitulacao	date	NI	Sim	Data de geração do registro.
					
102. turmas		Comentário: Cadastro das turmas disponibilizadas para aulas de disciplinas atribuidas aos professores.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkturma	smallint	NI	Sim	pk da Tabela [pkturma]=[pkturma]. Sequencial possitivo.
2	nuanosemestre	character	5	Nao	Ano e Semestre quando a turma existe.
3	fkatribuicao	smallint	NI	Nao	fk [fk1turma]=[fkatribuicao] apontando para a tabela atribuicoes[pkatribuicao]
4	dtcadturma	date	NI	Nao	Data de geração do registro.
					
103. veiculos		Comentário: Cadastro de Veículos. É uma superentidade com herança para carros e ônibus.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkveiculo	smallint	NI	Sim	pk da Tabela [pkveiculo]=[pkveiculo].
2	ukplaca	character	7	Nao	Chave Candidata [uk1veiculo]=[ccplaca]. Placa do veículo (somente letras e números].
3	fktipoveiculo	smallint	NI	Sim	fk [fk1veiculo]=[fktipoveiculo] apontando para a tabela veiculotipos[pktipoveiculo] (Tipos de Veículos].
4	fkmodeloveiculo	smallint	NI	Nao	fk [fk2veiculo]=[fkmodeloveiculo] apontando para a tabela veiculosmodelos[pkmodeloveiculo] (Modelos de Veículos].
5	fkfuncionario	smallint	NI	Nao	fk [fk3veiculo]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario] (funcionário proprietário do carro].
6	aotipocarro	character	1	Nao	Indica o tipo do veículo do Funcionário (P=Principal e S=Secundário].
7	txapelido	character varying	60	Nao	Nome de apelido do ônibus
8	qtcapacidade	smallint	NI	Sim	Quantidade de acentos no veículo.
9	nuanofabricacao	character	4	Sim	Ano de fabricação do veículo.
10	aocategoria	character	1	Nao	C-Carro | O-Ônibus | A-Outro.
11	dtcadveiculo	date	NI	Sim	Data de geração do registro.
					
104. veiculosmarcas		Comentário: Cadastro das marcas de veículos desenvolvidos por fabricantes.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmarcaveiculo	integer	NI	Sim	pk da Tabela [pkmarcaveiculo]=[pkmarcaveiculo].
2	txnomemarca	character varying	90	Sim	Nome completo e sem abreviações
3	fkfabricante	smallint	NI	Sim	fk [fk1marcaveiculo]=[fkfabricante] apontando para a tabela fabricantes[pkfabricante] com o código do fabricante da marca.
4	dtcadmarcaveiculo	date	NI	Sim	Data de geração do registro.
					
105. veiculosmodelos		Comentário: Cadastro de modelos de veículos			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmodeloveiculo	integer	NI	Sim	pk da Tabela [pkmodeloveiculo]=[pkmodeloveiculo].
